concepto,saldo_inicial,saldo_final,fecha_inicial,fecha_final,notas
Programa de daciones en pago,14008.0,0.0,1999-12-31,2000-06-30,sin dato
Pasivos Netos,687844.0,667790.0,1999-12-31,2000-06-30,Pasivos totales menos recursos líquidos y programa de apoyo a deudores.
Programa de Capitalización y compra de cartera,150445.0,174831.0,1999-12-31,2000-12-31,sin dato
Saneamientos financieros,369411.0,214368.0,1999-12-31,2000-12-31,sin dato
Emisiones realizadas,0.0,73845.0,1999-12-31,2000-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,134476.0,1999-12-31,2000-12-31,sin dato
Programa de deudores,16501.0,17030.0,1999-12-31,2000-12-31,sin dato
Programas de daciones en pago,14008.0,13905.0,1999-12-31,2000-12-31,sin dato
Otros pasivos,7961.0,5735.0,1999-12-31,2000-12-31,sin dato
Reserva paz y a salvo,0.0,436.0,1999-12-31,2000-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,1955.0,1999-12-31,2000-12-31,sin dato
Pasivos Totales,723563.0,750407.0,1999-12-31,2000-12-31,sin dato
Recursos líquidos,5209.0,23412.0,1999-12-31,2000-12-31,sin dato
Programa de deudores,16501.0,17030.0,1999-12-31,2000-12-31,sin dato
Programa de daciones en pago,14008.0,13905.0,1999-12-31,2000-12-31,sin dato
Pasivos Netos,687844.0,696060.0,1999-12-31,2000-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2001-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2001-03-31,sin dato
Emisiones realizadas,0.0,94298.0,1999-12-31,2001-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2001-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2001-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2001-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2001-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2001-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,2313.0,1999-12-31,2001-03-31,sin dato
Reserva y Otros pasivos,0.0,5031.0,1999-12-31,2001-03-31,sin dato
Pasivos Totales,723563.0,776935.0,1999-12-31,2001-03-31,sin dato
Recursos líquidos,5209.0,30412.0,1999-12-31,2001-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2001-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2001-03-31,sin dato
Pasivos Netos,687844.0,714602.0,1999-12-31,2001-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2001-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2001-06-30,sin dato
Emisiones realizadas,0.0,114056.0,1999-12-31,2001-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2001-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2001-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2001-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2001-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2001-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,2665.0,1999-12-31,2001-06-30,sin dato
Reserva y Otros pasivos,0.0,5774.0,1999-12-31,2001-06-30,sin dato
Pasivos Totales,723563.0,778390.0,1999-12-31,2001-06-30,sin dato
Recursos líquidos,5209.0,22009.0,1999-12-31,2001-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2001-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2001-06-30,sin dato
Pasivos Netos,687844.0,732751.0,1999-12-31,2001-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,195226.0,1999-12-31,2001-12-31,sin dato
Saneamientos financieros,369411.0,196766.0,1999-12-31,2001-12-31,sin dato
Emisiones realizadas,0.0,151885.0,1999-12-31,2001-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,77030.0,1999-12-31,2001-12-31,sin dato
Programa de deudores,16501.0,9411.0,1999-12-31,2001-12-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2001-12-31,sin dato
Otros pasivos,7961.0,5235.0,1999-12-31,2001-12-31,sin dato
Reserva paz y a salvo,0.0,458.0,1999-12-31,2001-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,3308.0,1999-12-31,2001-12-31,sin dato
Pasivos Totales,723563.0,787768.0,1999-12-31,2001-12-31,sin dato
Recursos líquidos,5209.0,27901.0,1999-12-31,2001-12-31,sin dato
Programa de deudores,16501.0,9411.0,1999-12-31,2001-12-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2001-12-31,sin dato
Pasivos Netos,687844.0,750455.0,1999-12-31,2001-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2002-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2002-03-31,sin dato
Emisiones realizadas,0.0,167726.0,1999-12-31,2002-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2002-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2002-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2002-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2002-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2002-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,2559.0,1999-12-31,2002-03-31,sin dato
Reserva y Otros pasivos,0.0,5239.0,1999-12-31,2002-03-31,sin dato
Pasivos Totales,723563.0,807516.0,1999-12-31,2002-03-31,sin dato
Recursos líquidos,5209.0,38248.0,1999-12-31,2002-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2002-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2002-03-31,sin dato
Pasivos Netos,687844.0,758349.0,1999-12-31,2002-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2002-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2002-06-30,sin dato
Emisiones realizadas,0.0,186372.0,1999-12-31,2002-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2002-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2002-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2002-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2002-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2002-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,1505.0,1999-12-31,2002-06-30,sin dato
Reserva y Otros pasivos,0.0,5930.0,1999-12-31,2002-06-30,sin dato
Pasivos Totales,723563.0,811224.0,1999-12-31,2002-06-30,sin dato
Recursos líquidos,5209.0,48039.0,1999-12-31,2002-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2002-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2002-06-30,sin dato
Pasivos Netos,687844.0,758454.0,1999-12-31,2002-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,208409.0,1999-12-31,2002-12-31,sin dato
Saneamientos financieros,369411.0,128065.0,1999-12-31,2002-12-31,sin dato
Emisiones realizadas,0.0,231546.0,1999-12-31,2002-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,35624.0,1999-12-31,2002-12-31,sin dato
Programa de deudores,16501.0,4788.0,1999-12-31,2002-12-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2002-12-31,sin dato
Otros pasivos,7961.0,6760.0,1999-12-31,2002-12-31,sin dato
Reserva paz y a salvo,0.0,484.0,1999-12-31,2002-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2002-12-31,sin dato
Pasivos Totales,723563.0,804123.0,1999-12-31,2002-12-31,sin dato
Recursos líquidos,5209.0,27513.0,1999-12-31,2002-12-31,sin dato
Programa de deudores,16501.0,4788.0,1999-12-31,2002-12-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2002-12-31,sin dato
Pasivos Netos,687844.0,771823.0,1999-12-31,2002-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2003-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2003-03-31,sin dato
Emisiones realizadas,0.0,254460.0,1999-12-31,2003-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2003-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2003-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2003-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2003-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2003-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2003-03-31,sin dato
Reserva y Otros pasivos,0.0,6772.0,1999-12-31,2003-03-31,sin dato
Pasivos Totales,723563.0,825317.0,1999-12-31,2003-03-31,sin dato
Recursos líquidos,5209.0,37328.0,1999-12-31,2003-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2003-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2003-03-31,sin dato
Pasivos Netos,687844.0,781688.0,1999-12-31,2003-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2003-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2003-06-30,sin dato
Emisiones realizadas,0.0,267730.0,1999-12-31,2003-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2003-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2003-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2003-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2003-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2003-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2003-06-30,sin dato
Reserva y Otros pasivos,0.0,6753.0,1999-12-31,2003-06-30,sin dato
Pasivos Totales,723563.0,814996.0,1999-12-31,2003-06-30,sin dato
Recursos líquidos,5209.0,28593.0,1999-12-31,2003-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2003-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2003-06-30,sin dato
Pasivos Netos,687844.0,783591.0,1999-12-31,2003-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,220427.0,1999-12-31,2003-12-31,sin dato
Saneamientos financieros,369411.0,103482.0,1999-12-31,2003-12-31,sin dato
Emisiones realizadas,0.0,309357.0,1999-12-31,2003-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,13713.0,1999-12-31,2003-12-31,sin dato
Programa de deudores,16501.0,4532.0,1999-12-31,2003-12-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2003-12-31,sin dato
Otros pasivos,7961.0,6323.0,1999-12-31,2003-12-31,sin dato
Reserva paz y a salvo,0.0,501.0,1999-12-31,2003-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2003-12-31,sin dato
Pasivos Totales,723563.0,821305.0,1999-12-31,2003-12-31,sin dato
Recursos líquidos,5209.0,25441.0,1999-12-31,2003-12-31,sin dato
Programa de deudores,16501.0,4532.0,1999-12-31,2003-12-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2003-12-31,sin dato
Pasivos Netos,687844.0,791332.0,1999-12-31,2003-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2004-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2004-03-31,sin dato
Emisiones realizadas,0.0,333330.0,1999-12-31,2004-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2004-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2004-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2004-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2004-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2004-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2004-03-31,sin dato
Reserva y Otros pasivos,0.0,6340.0,1999-12-31,2004-03-31,sin dato
Pasivos Totales,723563.0,833263.0,1999-12-31,2004-03-31,sin dato
Recursos líquidos,5209.0,35691.0,1999-12-31,2004-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2004-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2004-03-31,sin dato
Pasivos Netos,687844.0,791820.0,1999-12-31,2004-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2004-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2004-06-30,sin dato
Emisiones realizadas,0.0,353044.0,1999-12-31,2004-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2004-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2004-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2004-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2004-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2004-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2004-06-30,sin dato
Reserva y Otros pasivos,0.0,5224.0,1999-12-31,2004-06-30,sin dato
Pasivos Totales,723563.0,768320.0,1999-12-31,2004-06-30,sin dato
Recursos líquidos,5209.0,36826.0,1999-12-31,2004-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2004-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2004-06-30,sin dato
Pasivos Netos,687844.0,729581.0,1999-12-31,2004-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2004-12-31,sin dato
Nuevo Programa,0.0,118080.0,1999-12-31,2004-12-31,sin dato
Saneamientos financieros,369411.0,104465.0,1999-12-31,2004-12-31,sin dato
Emisiones realizadas,0.0,384448.0,1999-12-31,2004-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,683.0,1999-12-31,2004-12-31,sin dato
Programa de deudores,16501.0,4284.0,1999-12-31,2004-12-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2004-12-31,sin dato
Otros pasivos,7961.0,4824.0,1999-12-31,2004-12-31,sin dato
Reserva paz y a salvo,0.0,522.0,1999-12-31,2004-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2004-12-31,sin dato
Pasivos Totales,723563.0,750617.0,1999-12-31,2004-12-31,sin dato
Recursos líquidos,5209.0,63536.0,1999-12-31,2004-12-31,sin dato
Programa de deudores,16501.0,4284.0,1999-12-31,2004-12-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2004-12-31,sin dato
Pasivos Netos,687844.0,682797.0,1999-12-31,2004-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2005-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2005-03-31,sin dato
Emisiones realizadas,0.0,413543.0,1999-12-31,2005-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2005-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2005-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2005-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2005-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2005-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2005-03-31,sin dato
Reserva y Otros pasivos,0.0,4679.0,1999-12-31,2005-03-31,sin dato
Pasivos Totales,723563.0,784926.0,1999-12-31,2005-03-31,sin dato
Recursos líquidos,5209.0,87672.0,1999-12-31,2005-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2005-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2005-03-31,sin dato
Pasivos Netos,687844.0,691596.0,1999-12-31,2005-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2005-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2005-06-30,sin dato
Emisiones realizadas,0.0,440191.0,1999-12-31,2005-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2005-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2005-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2005-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2005-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2005-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2005-06-30,sin dato
Reserva y Otros pasivos,0.0,585.0,1999-12-31,2005-06-30,sin dato
Pasivos Totales,723563.0,809516.0,1999-12-31,2005-06-30,sin dato
Recursos líquidos,5209.0,115655.0,1999-12-31,2005-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2005-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2005-06-30,sin dato
Pasivos Netos,687844.0,691798.0,1999-12-31,2005-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2005-12-31,sin dato
Nuevo Programa,0.0,1934.0,1999-12-31,2005-12-31,sin dato
Saneamientos financieros,369411.0,80274.0,1999-12-31,2005-12-31,sin dato
Emisiones realizadas,0.0,496860.0,1999-12-31,2005-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,1611.0,1999-12-31,2005-12-31,sin dato
Programa de deudores,16501.0,4517.0,1999-12-31,2005-12-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2005-12-31,sin dato
Otros pasivos,7961.0,556.0,1999-12-31,2005-12-31,sin dato
Reserva paz y a salvo,0.0,532.0,1999-12-31,2005-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2005-12-31,sin dato
Pasivos Totales,723563.0,741128.0,1999-12-31,2005-12-31,sin dato
Recursos líquidos,5209.0,31478.0,1999-12-31,2005-12-31,sin dato
Programa de deudores,16501.0,4517.0,1999-12-31,2005-12-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2005-12-31,sin dato
Pasivos Netos,687844.0,705134.0,1999-12-31,2005-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2006-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2006-03-31,sin dato
Emisiones realizadas,0.0,520668.0,1999-12-31,2006-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2006-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2006-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2006-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2006-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2006-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2006-03-31,sin dato
Reserva y Otros pasivos,0.0,574.0,1999-12-31,2006-03-31,sin dato
Pasivos Totales,723563.0,765206.0,1999-12-31,2006-03-31,sin dato
Recursos líquidos,5209.0,50512.0,1999-12-31,2006-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2006-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2006-03-31,sin dato
Pasivos Netos,687844.0,708851.0,1999-12-31,2006-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2006-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2006-06-30,sin dato
Emisiones realizadas,0.0,540603.0,1999-12-31,2006-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2006-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2006-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2006-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2006-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2006-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2006-06-30,sin dato
Reserva y Otros pasivos,0.0,552.0,1999-12-31,2006-06-30,sin dato
Pasivos Totales,723563.0,745175.0,1999-12-31,2006-06-30,sin dato
Recursos líquidos,5209.0,36427.0,1999-12-31,2006-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2006-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2006-06-30,sin dato
Pasivos Netos,687844.0,706775.0,1999-12-31,2006-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2006-12-31,sin dato
Saneamientos financieros,369411.0,25876.0,1999-12-31,2006-12-31,sin dato
Emisiones realizadas,0.0,596855.0,1999-12-31,2006-12-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,1032.0,1999-12-31,2006-12-31,sin dato
Programa de deudores,16501.0,4131.0,1999-12-31,2006-12-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2006-12-31,sin dato
Otros pasivos,7961.0,409.0,1999-12-31,2006-12-31,sin dato
Reserva paz y a salvo,0.0,7.0,1999-12-31,2006-12-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2006-12-31,sin dato
Pasivos Totales,723563.0,748508.0,1999-12-31,2006-12-31,sin dato
Recursos líquidos,5209.0,29851.0,1999-12-31,2006-12-31,sin dato
Programa de deudores,16501.0,4131.0,1999-12-31,2006-12-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2006-12-31,sin dato
Pasivos Netos,687844.0,714526.0,1999-12-31,2006-12-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2007-03-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2007-03-31,sin dato
Emisiones realizadas,0.0,622361.0,1999-12-31,2007-03-31,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2007-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2007-03-31,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2007-03-31,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2007-03-31,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2007-03-31,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2007-03-31,sin dato
Reserva y Otros pasivos,0.0,380.0,1999-12-31,2007-03-31,sin dato
Pasivos Totales,723563.0,751614.0,1999-12-31,2007-03-31,sin dato
Recursos líquidos,5209.0,34719.0,1999-12-31,2007-03-31,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2007-03-31,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2007-03-31,sin dato
Pasivos Netos,687844.0,711870.0,1999-12-31,2007-03-31,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2007-06-30,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2007-06-30,sin dato
Emisiones realizadas,0.0,647544.0,1999-12-31,2007-06-30,sin dato
Pasivos de las instituciones en liquidación,164138.0,0.0,1999-12-31,2007-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2007-06-30,sin dato
Programas de daciones en pago,14008.0,0.0,1999-12-31,2007-06-30,sin dato
Operaciones con instrumentos financieros derivados,0.0,0.0,1999-12-31,2007-06-30,sin dato
Otros pasivos,7961.0,0.0,1999-12-31,2007-06-30,sin dato
Reserva para la Protección al Ahorro Bancario,1097.0,0.0,1999-12-31,2007-06-30,sin dato
Reserva y Otros pasivos,0.0,698.0,1999-12-31,2007-06-30,sin dato
Pasivos Totales,723563.0,743042.0,1999-12-31,2007-06-30,sin dato
Recursos líquidos,5209.0,28768.0,1999-12-31,2007-06-30,sin dato
Programa de deudores,16501.0,0.0,1999-12-31,2007-06-30,sin dato
Programa de daciones en pago,14008.0,0.0,1999-12-31,2007-06-30,sin dato
Pasivos Netos,687844.0,713059.0,1999-12-31,2007-06-30,sin dato
Programa de Capitalización y compra de cartera,150445.0,0.0,1999-12-31,2007-12-31,sin dato
Saneamientos financieros,369411.0,0.0,1999-12-31,2007-12-31,sin dato
Emisiones realizadas,0.0,694203.0,1999-12-31,2007-12-31,sin dato
